device_id,window_id,label,dC,dL,dP,dE,dF,dS,dT,cyc_per_us,lsu_per_cyc,cpi_per_cyc,exc_per_cyc,fold_per_cyc
1,518,1,15000000,5797,7112,2666,5372,0,100000,150.000000,0.000386,0.000474,0.000178,0.000358
1,519,1,15000000,6338,6576,2755,5669,0,100000,150.000000,0.000423,0.000438,0.000184,0.000378
1,520,1,15000000,6850,6109,2904,6247,0,100000,150.000000,0.000457,0.000407,0.000194,0.000416
1,521,1,15000000,6661,6444,2903,6111,0,100000,150.000000,0.000444,0.000430,0.000194,0.000407
1,522,1,15000000,6082,7054,2824,5627,0,100000,150.000000,0.000405,0.000470,0.000188,0.000375
1,523,1,15000000,5606,6581,2921,6761,0,100000,150.000000,0.000374,0.000439,0.000195,0.000451
1,524,1,15000000,5751,6495,2601,6355,0,100000,150.000000,0.000383,0.000433,0.000173,0.000424
1,525,1,15000000,6218,6461,2882,5213,0,100000,150.000000,0.000415,0.000431,0.000192,0.000348
1,526,1,15000000,6222,6078,2782,6017,0,100000,150.000000,0.000415,0.000405,0.000185,0.000401
1,527,1,15000000,6113,6356,2842,6612,0,100000,150.000000,0.000408,0.000424,0.000189,0.000441
1,528,1,15000000,6409,6956,2807,4854,0,100000,150.000000,0.000427,0.000464,0.000187,0.000324
1,529,1,15000000,6717,7354,2742,6532,0,100000,150.000000,0.000448,0.000490,0.000183,0.000435
1,530,1,15000000,6559,6226,2921,6383,0,100000,150.000000,0.000437,0.000415,0.000195,0.000426
1,531,1,15000000,5936,6334,2765,5642,0,100000,150.000000,0.000396,0.000422,0.000184,0.000376
1,532,1,15000000,6477,6501,2959,5795,0,100000,150.000000,0.000432,0.000433,0.000197,0.000386
1,533,1,15000000,6949,6448,2920,6437,0,100000,150.000000,0.000463,0.000430,0.000195,0.000429
1,534,1,15000000,6191,6214,2666,6168,0,100000,150.000000,0.000413,0.000414,0.000178,0.000411
1,535,1,15000000,5723,6491,2664,5154,0,100000,150.000000,0.000382,0.000433,0.000178,0.000344
1,536,1,15000000,6582,6490,2961,6575,0,100000,150.000000,0.000439,0.000433,0.000197,0.000438
1,537,1,15000000,6383,6263,2841,6602,0,100000,150.000000,0.000426,0.000418,0.000189,0.000440
1,538,1,15000000,6508,6313,2792,4620,0,100000,150.000000,0.000434,0.000421,0.000186,0.000308
1,539,1,15000000,6822,7051,2943,5891,0,100000,150.000000,0.000455,0.000470,0.000196,0.000393
1,540,1,15000000,5654,6571,2774,6609,0,100000,150.000000,0.000377,0.000438,0.000185,0.000441
1,541,1,15000000,6234,6775,2797,5284,0,100000,150.000000,0.000416,0.000452,0.000186,0.000352
1,542,1,15000000,6327,6746,2888,5131,0,100000,150.000000,0.000422,0.000450,0.000193,0.000342
1,543,1,15000000,6283,6322,3002,7080,0,100000,150.000000,0.000419,0.000421,0.000200,0.000472
1,544,1,15000000,7018,6445,2743,6183,0,100000,150.000000,0.000468,0.000430,0.000183,0.000412
1,545,1,15000000,6721,7048,2628,5287,0,100000,150.000000,0.000448,0.000470,0.000175,0.000352
1,546,1,15000000,6017,6311,2959,6711,0,100000,150.000000,0.000401,0.000421,0.000197,0.000447
1,547,1,15000000,6577,6372,2804,6149,0,100000,150.000000,0.000438,0.000425,0.000187,0.000410
1,548,1,15000000,6336,6659,2781,5086,0,100000,150.000000,0.000422,0.000444,0.000185,0.000339
1,549,1,15000000,6289,6452,2639,6191,0,100000,150.000000,0.000419,0.000430,0.000176,0.000413
1,550,1,15000000,6267,6854,2817,5969,0,100000,150.000000,0.000418,0.000457,0.000188,0.000398
1,551,1,15000000,5904,6639,2782,4869,0,100000,150.000000,0.000394,0.000443,0.000185,0.000325
1,552,1,15000000,5993,6933,2882,6771,0,100000,150.000000,0.000400,0.000462,0.000192,0.000451
1,553,1,15000000,6591,5776,2803,6456,0,100000,150.000000,0.000439,0.000385,0.000187,0.000430
1,554,1,15000000,6528,6955,2725,5983,0,100000,150.000000,0.000435,0.000464,0.000182,0.000399
1,555,1,15000000,5968,6651,2804,5729,0,100000,150.000000,0.000398,0.000443,0.000187,0.000382
1,556,1,15000000,6032,6102,2817,6581,0,100000,150.000000,0.000402,0.000407,0.000188,0.000439
1,557,1,15000000,7191,6898,2844,5796,0,100000,150.000000,0.000479,0.000460,0.000190,0.000386
1,558,1,15000000,6376,6800,2929,5424,0,100000,150.000000,0.000425,0.000453,0.000195,0.000362
1,559,1,15000000,6451,6867,2973,6666,0,100000,150.000000,0.000430,0.000458,0.000198,0.000444
1,560,1,15000000,5328,6213,2765,6095,0,100000,150.000000,0.000355,0.000414,0.000184,0.000406
1,561,1,15000000,6403,6549,2828,5320,0,100000,150.000000,0.000427,0.000437,0.000189,0.000355
1,562,1,15000000,5866,6300,2961,6546,0,100000,150.000000,0.000391,0.000420,0.000197,0.000436
1,563,1,15000000,5584,6703,2704,5534,0,100000,150.000000,0.000372,0.000447,0.000180,0.000369
1,564,1,15000000,5784,6326,2836,5718,0,100000,150.000000,0.000386,0.000422,0.000189,0.000381
1,565,1,15000000,6049,5905,2942,6862,0,100000,150.000000,0.000403,0.000394,0.000196,0.000457
1,566,1,15000000,6576,6800,2891,6289,0,100000,150.000000,0.000438,0.000453,0.000193,0.000419
1,567,1,15000000,6213,5885,2760,5427,0,100000,150.000000,0.000414,0.000392,0.000184,0.000362
1,568,1,15000000,6152,6653,2805,6410,0,100000,150.000000,0.000410,0.000444,0.000187,0.000427
1,569,1,15000000,6301,6033,2705,5871,0,100000,150.000000,0.000420,0.000402,0.000180,0.000391
1,570,1,15000000,6681,6873,2748,5072,0,100000,150.000000,0.000445,0.000458,0.000183,0.000338
1,571,1,15000000,5835,6867,2804,6919,0,100000,150.000000,0.000389,0.000458,0.000187,0.000461
1,572,1,15000000,6641,6286,2764,6512,0,100000,150.000000,0.000443,0.000419,0.000184,0.000434
1,573,1,15000000,6436,6489,2665,6705,0,100000,150.000000,0.000429,0.000433,0.000178,0.000447
1,574,1,15000000,6219,6145,2901,4810,0,100000,150.000000,0.000415,0.000410,0.000193,0.000321
1,575,1,15000000,5930,6878,2820,6361,0,100000,150.000000,0.000395,0.000459,0.000188,0.000424
